Timestamp,t0_Ch1,t0_Ch2,t0_Ch3,t0_Ch4,t0_Ch5,t0_Ch6,t0_Ch7,t0_Ch8,t1_Ch1,t1_Ch2,t1_Ch3,t1_Ch4,t1_Ch5,t1_Ch6,t1_Ch7,t1_Ch8,Label
1782071650.2366076,-3,3,-6,-17,-37,-1,5,2,-7,-1,-15,3,12,3,-3,-2,0
1782071650.3312738,-3,0,3,26,0,-2,-3,1,2,2,15,-3,1,3,-2,-2,0
1782071650.3399541,-1,-5,-4,-4,-52,-13,-4,-2,-4,-1,-3,1,7,-7,-2,-2,0
1782071650.3400192,0,1,-1,15,-4,2,2,1,0,-3,10,10,5,-4,-2,-2,0
1782071650.4380105,-18,0,-11,3,25,-2,-3,-2,-1,0,-7,-18,-6,8,5,-1,0
1782071650.443029,1,-2,3,38,-3,-11,-1,0,-3,-1,-2,-3,-11,-1,0,-1,0
1782071650.4737656,-2,2,18,-14,0,0,-2,-1,-3,-7,-29,-25,-29,-19,-3,0,0
1782071650.5357985,-15,3,10,-1,0,-6,0,-2,3,8,12,-1,2,48,2,-2,0
1782071650.546168,7,4,-5,0,-5,1,0,-3,25,2,10,12,23,6,0,4,0
1782071650.5766964,13,2,9,-1,-2,7,-1,0,5,5,13,-7,12,11,0,-1,0
1782071650.63748,3,-3,0,-9,-1,-27,0,-1,-9,-2,-9,11,-1,6,2,0,0
1782071650.6803486,1,1,20,-12,-9,15,2,-2,-2,-5,-14,-7,4,1,1,0,0
1782071650.7398956,-4,-8,-28,-8,0,17,-3,-4,5,15,56,2,-10,-14,-6,0,0
